HOLDING_CODE,OBJECTID..,SURVTYPE,SLR,ITEM7,ITEM11,ITEM12,ITEM40,ITEM157,ITEM170,ITEM122,ITEM145,ITEM2479,ITEM1703,ITEM1707,ITEM459,ITEM538,ITEM1825,ITEM1827,ITEM1828,ITEM1830,ITEM2495,ITEM1668,ITEM2512,ITEM2513,ITEM2514,ITEM2492,ITEM2499,ITEM1870,ITEM1871,ITEM1875,ITEM1872,ITEM1874,ITEM2500,ITEM2501,ITEM2502,ITEM1876,ITEM2503,ITEM2504,ITEM2505,TOTDAAREA,TOTNONLFAAREA,TOTSDAAREA,ITEM2482,ITEM2483,ITEM2484,ITEM2485,ITEM2486,ITEM2487,ITEM2321,ITEM2322,ITEM47,ITEM48,ITEM100,ITEM102,ITEM104,ITEM106,cattle.beef,cattle.dairy,calf.beef,calf.dairy,breeder.beef,breeder.dairy,service.bull,cattle.other,cattle.all
002/0064,12,NA,0.883332,0,45.12,45.12,91.88,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.9,0,0,0,0,0,0,9.1,12.46,33.06,0,0,0,0,0,1,0,6,11,5,0,0,1,24
002/0065,13,SAF+FSE,0.126568,0,7.89,7.89,0,0,0,21,0,0,0,0,1,0,6,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,13,0,5,2,0,0,0,0,20
002/0083,36,NA,0.346637,0,24.42,24.42,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.42,0,0,0,0,0,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
002/0094,40,SAF+FSE,0.935424,0,56.7,56.7,20.79,0,0,58,225,0,0,0,1,2,5,3,6,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,0,0,0,0,0,0,0,24.39,0,5.05,0,0,0,0,0,48,0,21,17,0,0,1,0,87
002/0095,26248,Main+FSE,0.028979,0,15,15,0,0,18,0,0,0,0,0,2,0,5,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,13,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2
002/0101,41,SAF+FSE,1.459471,0,157.8,157.8,69.62,0,0,120,0,0,0,0,1,0,5,0,6,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7,33.41,0,0,0,0,0,0,0,61.58,10.19,9.01,1.29,0,0,0,0,9,0,2,3,0,0,0,155,169
002/0102,26272,Main+FSE,0.018842,0,6.7,6.7,0,0,0,1,0,0,0,0,2,0,7,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,2,5,4,2,1,0,1,1,16
002/0104,42,NA,3.870168,11.25,53.37,64.62,26.29,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,28.5,0,0,0,0,0,0,0,23.27,7.95,0.76,0.38,95,29,20,0,0,130,39,56,22,45,3,38,333
002/0122,73,SAF+FSE,0.329579,0,33.8,33.8,8.29,0,0,40,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,0,0,0,0,0,0,0,0,22.66,2.44,0,0,0,0,0,0,12,0,0,0,0,0,0,23,35
002/0126,26276,Main,0.011789,0,5.9,5.9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.5,0,NA,NA,NA,NA,NA,NA,0,5.6,0,0.3,0,0,0,0,3,1,0,1,1,0,0,2,8
002/0128,76,SAF+FSE,1.503211,0,114.66,114.66,52.47,0,0,174,0,0,0,0,1,0,6,0,6,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,114.66,0,0,0,0,0,0,0,53.95,6.1,0,0,0,0,0,0,21,0,0,0,0,0,0,107,128
002/0129,77,SAF+FSE,1.132926,0,50.24,50.24,4.07,0,0,184,0,0,0,0,1,0,5,0,5,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03,31.21,0,0,0,0,0,0,7.31,38.73,0,0,0,0,0,0,38,0,20,24,0,0,2,0,84
002/0130,78,SAF+FSE,0.403537,0,24.3,24.3,0,0,0,65,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,22.93,0,0,0,0,0,0,0,0,46,9,11,0,0,0,0,66
002/0138,80,SAF+FSE,0.174261,0,83.13,83.13,0,0,0,0,0,0,0,0,1,0,6,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.13,0,0,0,0,0,0,0,82.56,0,0.57,0,0,0,0,0,16,0,3,0,0,0,0,102,121
002/0140,82,SAF+FSE,0.562989,0,83.3,83.3,47.27,0,0,0,0,0,0,0,1,0,5,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0,0,0,0,10.68,20.24,0.4,1.98,0,0,0,0,11,0,2,28,31,0,1,0,73
002/0146,83,SAF+FSE,1.0287,0,71.55,71.55,9.08,0,0,163,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,71.55,0,0,0,0,0,0,0,0,17.05,41.86,0.86,0,0,0,0,0,36,0,16,13,0,0,1,67,133
002/0196,26660,Main+FSE,0.012592,0,8.7,8.7,0,0,0,0,0,0,0,0,1,0,6,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,7,0,1,3,0,0,0,0,11
002/0197,26681,SAF+FSE,0.109547,0,8.21,8.21,0,0,0,0,65,0,0,0,2,0,5,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,1.3,6.2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5
002/0198,89,NA,0.231053,0,5.5,5.5,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,2.41,3.09,0,0,0,0,0,0,24,0,0,1,0,0,1,0,26
002/0204,90,NA,0.501789,0,24.1,24.1,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,19.79,0,0,0,0,0,0,13.86,0.24,10,0,0,0,0,0,0,0,0,0,0,0,0,86,86
003/0002,44,SAF+FSE,1.062016,0,61.5,61.5,34.25,0,0,120,58,0,0,0,2,0,7,0,3,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,32.7,28.8,0,0,0,0,0,0,0,22.98,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,147,147
003/0005,45,NA,0.047537,0,35.5,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,0,0,0,0,0,0,0,22.58,0,0,0,0,0,0,0,40,0,16,15,3,0,1,2,77
003/0011,46,SAF+FSE,2.433826,23,92.7,115.7,10.33,0,0,0,1259,0,0,0,1,0,6,0,5,0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,36.49,79.21,0,0,0,0,0,0,0,97.66,2.09,1,0.72,0,0,0,0,30,0,22,5,0,0,0,122,179
003/0016,47,SAF+FSE,1.212853,61.4,49.1,110.5,39.82,0,0,143,0,0,0,0,1,0,5,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.5,0,0,0,0,0,0,0,48.99,0,17.24,0,0,0,0,0,15,0,0,3,0,0,0,122,140
003/0033,65,SAF+FSE,2.179845,0,197.82,197.82,104.72,0,0,185,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,42.46,155.36,0,0,0,0,0,0,0,67.3,12.89,1.03,0,0,0,0,0,155,0,8,28,0,0,1,455,647
003/0038,66,Main+FSE,0.131368,0,19.3,19.3,10.9,0,0,0,0,0,0,0,1,0,7,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,7,0,4,3,1,0,0,0,15
003/0047,68,NA,0.659524,0,105.54,105.54,66.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.54,0,0,0,0,0,0,0,6.51,4.12,1.05,2.08,0,0,0,0,28,11,8,16,10,0,1,23,97
003/0049,69,NA,0.186905,0,21.8,21.8,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,20.1,1.18,0,0,0,0,0,0,6,0,2,0,0,0,0,21,29
003/0064,50,SAF+FSE,0.802147,55.98,0,55.98,16.94,0,0,115,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98,0,0,0,0,0,0,0,0,31.88,5.69,0,0,0,0,0,0,13,0,0,0,0,0,0,137,150
003/0066,51,NA,1.601221,119.69,30.91,150.6,65.49,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.6,0,0,0,0,0,0,0,61.13,10.2,12.8,0,0,0,0,0,48,0,20,0,0,0,1,113,182
003/0069,53,SAF+FSE,1.685308,119.25,0,119.25,52.08,0,0,211,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,60.45,0,0,0,0,0,0,0,62.45,2.79,0.35,0,0,0,0,0,36,0,25,20,0,0,1,99,181
003/0083,56,SAF+FSE,0.122374,0,9.86,9.86,1.46,0,0,20,0,0,0,0,1,0,6,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9.86,0,0,0,0,0,0,0,0,5.04,2.1,0,0,0,0,0,0,0,0,0,0,0,0,11,11
003/0092,26846,Minor,0.002463,0,1.17,1.17,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.17,0,NA,NA,NA,NA,NA,NA,0.201,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
004/0003,59,SAF+FSE,0.583713,75.6,0,75.6,51.37,0,0,0,0,0,0,0,1,0,5,0,3,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,75.6,0,0,0,0,0,0,0,0,19.01,0.41,2.65,0,0,0,0,0,41,0,0,0,0,0,0,41,82
004/0004,60,NA,1.079642,95.65,0,95.65,27.04,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.8,0,0,0,0,0,0,0,0,40.86,23.27,0,0,0,0,0,0,20,70,30,34,13,10,0,12,189
004/0005,61,NA,3.213987,0,284.21,284.21,63.73,0,1800,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.71,133.97,0,0,0,0,0,0,0,158.4,13.83,8.67,2.88,0,0,0,0,70,0,36,34,0,0,2,0,142
004/0011,62,NA,0.145437,37.77,0,37.77,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,22.49,0,3.18,0,0,0,0,0,84,0,0,0,0,0,2,0,86
004/0018,63,SAF+FSE,0.118589,26.9,0,26.9,7.47,0,0,0,0,0,0,0,2,0,4,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,19,1,3,0,0,0,0,20,43
004/0021,120,SAF+FSE,3.957521,59,250.23,309.23,100.98,0,115,372,370,0,0,0,1,0,6,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.24,146.99,0,0,0,0,0,0,84.9,60.26,51.9,5.09,0,0,0,0,0,0,22,17,0,0,0,109,148
004/0022,121,SAF+FSE,0.0502,0,4,4,0,0,33,6,0,0,0,0,2,0,7,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,3,3,3,1,0,0,0,7,17
004/0025,122,NA,0.748147,0,84.6,84.6,32.05,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6,0,0,0,0,0,0,0,0,4.7,43.64,0.48,2.45,0,0,0,0,47,0,18,12,3,0,2,14,96
004/0028,123,NA,0.145811,0,15.07,15.07,6.21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1.77,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
004/0042,125,SAF+FSE,2.313216,0,133.44,133.44,14.16,0,0,174,19,0,0,0,0,1,0,5,0,6,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,85.46,47.98,0,0,0,0,0,0,0,52.19,33.35,14.97,9.07,0,0,0,0,66,0,35,24,1,0,2,0,128
005/0006,128,SAF+FSE,0.803179,94.14,0,94.14,9.4,0,0,100,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.14,0,0,0,0,0,0,27.97,56.04,0,0,0,0,0,0,93,0,46,47,6,0,3,34,229
005/0012,129,NA,1.337597,93.67,0,93.67,36.71,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.96,48.71,0,0,0,0,0,0,0,47.41,3.49,5.09,0,0,0,0,0,100,0,47,38,0,0,2,96,283
005/0021,131,NA,1.086905,87.97,0,87.97,55.8,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.93,53.21,0,0,0,0,0,0,28.48,0,0.8,0,0,0,0,0,54,0,23,25,0,0,2,21,125
005/0024,132,NA,3.650918,56,184.2,240.2,16.66,0,0,531,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,126.2,0,0,0,0,0,0,104.03,93.7,10.34,0,0,0,0,0,12,0,0,0,0,0,0,114,126
005/0025,133,NA,1.882316,87.47,0,87.47,26.7,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.47,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,7,0,11,0,0,0,0,117,135
005/0028,134,NA,0.018421,9.3,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,7.52,1.23,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18
005/0031,135,SAF+FSE,2.591692,125.43,0,125.43,77.56,0,0,239,7,0,0,0,1,0,5,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.43,0,0,0,0,0,0,0,42.58,2.55,0,0,36,0,0,0,9,0,0,0,0,0,0,149,158
005/0037,136,SAF+FSE,1.791047,74.96,0,74.96,10.38,0,7,141,423,0,0,0,1,0,3,0,4,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,74.96,0,0,0,0,0,0,58.11,3.29,0,0,0,0,0,0,7,0,0,5,0,0,0,83,95
005/0047,138,SAF+FSE,3.315674,129.49,111,240.49,85.7,0,0,402,0,0,0,0,1,0,7,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,240.49,0,0,0,0,0,0,0,0,128.86,18.41,1,0,0,0,0,0,157,0,68,61,0,0,4,111,401
005/0049,139,NA,1.300982,68.61,0,68.61,15.37,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3,0,0,0,0,0,0,35.54,7.94,2.67,0.71,0,0,0,0,79,0,45,34,0,1,2,41,202
005/0050,92,NA,3.118887,200.36,0,200.36,143.46,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.05,0,0,0,0,0,0,0,0,47.51,6.08,0.65,0,0,0,0,0,154,0,72,64,9,0,5,4,308
005/0053,94,SAF+FSE,0.558739,19.94,0,19.94,8.27,0,0,47,120,0,0,0,1,0,7,0,4,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19.94,0,0,0,0,0,0,0,0,8.28,2.87,0,0,0,0,0,0,23,0,11,10,1,0,1,14,60
005/0054,95,SAF+FSE,0.490084,86.91,0,86.91,53.18,0,0,0,0,0,0,0,1,0,4,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.91,0,0,0,0,0,0,0,31.32,0.17,0,0,0,0,0,0,0,0,4,0,0,0,0,47,51
005/0055,26926,SAF+FSE,0.024168,11.4,0,11.4,0,0,0,0,0,0,0,0,1,0,7,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11.4,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,8,0,0,5,0,0,0,19,32
005/0068,96,SAF+FSE,0.870316,167.4,0,167.4,0,0,0,116,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.4,0,0,0,0,0,0,0,152.4,0,0,0,0,0,0,2,0,0,11,0,0,0,4,17
005/0070,97,SAF+FSE,0.467163,35.5,0,35.5,2.82,0,0,54,70,0,0,0,1,0,7,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,18.81,0,12.63,0,0,0,0,0,22,0,10,7,0,0,0,13,52
005/0073,113,SAF+FSE,1.333105,93.9,0,93.9,28.05,0,0,177,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,0,0,0,0,0,0,0,0,45.08,15.78,0,0,0,0,0,0,68,0,37,26,9,0,3,43,186
005/0074,114,SAF+FSE,0.877018,71.73,0,71.73,14.4,0,0,120,0,0,0,0,1,0,5,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.73,0,0,0,0,0,0,32.27,16.34,8.65,0,0,0,0,0,73,0,22,20,6,0,2,53,176
005/0075,115,NA,4.012171,152.4,32.7,185.1,40.93,0,0,217,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,78.22,0,0,0,0,0,0,0,139.07,3.87,2.75,0.25,0,0,0,0,29,0,0,0,0,0,0,111,140
005/0076,116,SAF+FSE,1.335353,67.1,0,67.1,8.18,0,0,125,274,0,0,0,1,0,6,0,5,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,67.1,0,0,0,0,0,0,32.43,25.46,0,0,0,0,0,0,49,0,21,31,0,0,1,27,129
005/0078,117,Main+FSE,0.056211,26.7,0,26.7,0,0,0,0,0,0,0,0,2,0,5,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0,0,0,0,0,26.7,0,0,0,0,0,0,8,0,0,5,0,0,0,4,17
005/0083,119,SAF+FSE,0.607179,38.28,0,38.28,7.22,0,0,85,0,0,0,0,1,0,6,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,38.46,0,0,0,0,0,0,28.07,2.99,0,0,0,0,0,0,39,0,15,19,0,0,0,8,81
005/0088,99,NA,0.352205,70.18,5.39,75.57,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,72.58,0,0,0,0,0,0,14.06,20.96,36.74,0,2,0,0,0,12,2,3,5,7,0,0,0,29
006/0006,105,SAF+FSE,1.873558,0,172.68,172.68,152.61,0,0,46,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.68,0,0,0,0,0,0,0,4.08,5.06,0,8.06,0,0,0,0,85,0,30,1,0,0,1,81,198
006/0008,106,NA,0.6534,0,40.78,40.78,5.32,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,23.66,12.2,1.08,0,0,0,0,0,0,0,0,0,0,0,0,45,45
006/0011,108,NA,0.046611,38.7,0,38.7,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,0,0,0,0,0,0,0,22.14,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4
006/0013,109,SAF+FSE,0.086766,0,6.37,6.37,0.96,0,11,0,40,0,0,0,2,0,6,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,8
006/0015,111,SAF+FSE,0.340816,0,18.2,18.2,4.2,0,210,52,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,13.15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,37,47
