HOLDING_CODE,ITEM1,ITEM2,ITEM14,ITEM40,ITEM41,ITEM46,ITEM47,ITEM48,ITEM49,ITEM50,ITEM84,ITEM85,ITEM86,ITEM87,ITEM94,ITEM95,ITEM96,ITEM145,ITEM157,ITEM170,ITEM171,ITEM177,ITEM178,ITEM179,ITEM182,ITEM183,ITEM184,ITEM200,ITEM1714,ITEM1715,ITEM1716,ITEM1717,ITEM1718,ITEM1719,ITEM100,ITEM101,ITEM102,ITEM103,ITEM104,ITEM105,ITEM106,ITEM107,ITEM108,ITEM109,ITEM110,ITEM111,ITEM112,ITEM113,ITEM114,ITEM115,ITEM116,ITEM117,ITEM118,ITEM119,ITEM120,ITEM121,ITEM122,group,group1,ITEM42,ITEM43,ITEM44,ITEM45,ITEM16,ITEM18,ITEM17,ITEM20,cattle_dairy,cattle_beef,calf_dairy,calf_beef,service_bull,breeder_dairy,breeder_beef,cattle_other,barley,oats,grass,roughGraz,area
002/0054,0,0,0,33,0,54.51,3.1,0,1.09,58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,69,0,0,0,0,0,0,0,118,3,NA,7.910000000000000,0.000000000000000,13.6,0.000000000000000,0,26.54,0,0,0,49,0,0,0,0,0,118,26.54,0,21.51,3.1,58.7
002/0060,26.82,0,0,26.82,0,60.56,0.84,4.1,0.3,65.8,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,39,0,6,0,0,0,0,1,0,0,4,0,0,0,0,0,0,17,24,0,0,91,3,NA,2.690000000000000,0.000000000000000,3.94,27.109999999999999,0,26.82,0,0,0,45,24,17,1,4,0,0,26.82,0,33.74,0.84,65.8
002/0063,0,0,0,16.2,0,51.86,40.5,0,0.28,92.64,0,0,0,0,0,0,0,283,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2,1,0,0,0,0,0,17,0,0,51,4,2,40,45,193,2,NA,0.000000000000000,12.100000000000000,0,23.559999999999999,0,16.2,0,0,0,33,47,44,1,0,0,68,16.2,0,35.66,40.5,92.64
002/0064,0,0,0,42.89,0,52.94,4.16,0,0.8,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,4,2,7,23,3,NA,4.920000000000000,0.000000000000000,0,5.130000000000000,0,12.69,0,0,0,1,11,6,0,0,5,1,12.69,0,10.05,4.16,57.9
002/0065,0,0,0,0,0,7.28,0,0,0.61,7.89,0,0,0,0,0,0,2,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,20,3,NA,0.000000000000000,0.000000000000000,3.67,3.610000000000000,0,0,0,0,0,13,2,5,0,0,0,0,0,0,7.28,0,7.89
002/0083,24.65,0,0,0,0,24.65,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,3,NA,0.000000000000000,0.000000000000000,0,24.650000000000002,0,0,0,0,0,0,0,0,0,0,0,33,0,0,24.65,0,24.65
002/0094,0,20.2,0,29.81,0,49.11,4.18,1.61,1.8,56.7,0,0,0,0,0,0,0,446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,17,17,87,3,NA,3.440000000000000,0.000000000000000,10.11,5.750000000000000,11.84,17.97,0,0,0,48,17,21,1,0,0,0,29.81,0,19.3,4.18,56.7
002/0095,0,0,0,0.1,0,6.51,5.05,3.65,0,15.21,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,NA,4.590000000000000,0.000000000000000,1.82,0.000000000000000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.41,5.05,15.21
002/0101,0,0,11.3,68.95,0,132.57,12.53,11.5,1.2,157.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,111,0,0,35,2,3,0,0,160,2,NA,4.250000000000000,23.500000000000000,12.2,23.670000000000002,3.25,35,0,0,0,9,3,2,0,0,0,155,38.25,0,63.62,12.53,157.8
002/0102,0,1.2,0,0,0,6,0,0,0.7,6.7,0,0,0,0,0,0,1,73,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,2,1,0,15,3,NA,0.000000000000000,0.000000000000000,0,6.000000000000000,0,0,0,0,5,2,2,4,1,0,1,1,0,0,6,0,6.7
002/0104,0,58.62,9.52,9.52,0,61.79,0,1.51,0,63.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,0,0,1,0,0,90,0,21,0,19,0,0,0,2,1,0,36,5,0,38,9,17,0,17,31,22,25,333,2,NA,25.590000000000000,0.000000000000000,15.59,11.090000000000000,0,0,0,0,130,0,56,39,3,45,22,38,0,0,52.27,0,63.3
002/0122,0,7.57,0,13.24,0,33.38,0,0,0.42,33.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,23,3,NA,9.140000000000001,0.000000000000000,8.58,2.420000000000000,0,13.24,0,0,0,12,0,0,0,0,0,23,13.24,0,20.14,0,33.8
002/0126,0,0,0,0.02,0,5.72,0,0.18,0,5.9,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,7,3,NA,1.431000000000000,1.269000000000000,0.57,2.430000000000000,0,0,0,0,1,3,1,0,0,0,1,2,0,0,5.7,0,5.9
002/0128,0,2.6,6.62,69.22,0,112,0,0.58,0.59,113.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,86,0,0,0,0,0,0,0,107,3,NA,10.580000000000000,10.100000000000000,6.4,15.700000000000001,10.79,32.97,0,0,0,21,0,0,0,0,0,107,43.76,0,42.78,0,113.17
002/0129,0,3.3,0,7.99,0,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,4,13,16,11,84,3,NA,5.720000000000000,4.890000000000000,4,8.400000000000000,0,4.68,0,0,0,38,24,20,2,0,0,0,4.68,0,23.01,0,31
002/0130,0,16.2,0,4.16,0,24.27,0,0,0.03,24.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,38,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,2,66,3,NA,10.040000000000001,0.000000000000000,10.07,0.000000000000000,0,2.06,0,0,46,0,11,9,0,0,0,0,2.06,0,20.11,0,24.3
002/0138,0,0,0,25.64,0,68.93,0.85,2.32,2.46,74.56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,86,0,0,0,3,0,0,0,105,3,NA,9.980000000000000,4.080000000000000,14.51,14.720000000000001,0,20.28,0,0,0,16,0,3,0,0,0,102,20.28,0,43.29,0.85,74.56
002/0140,21.49,0,0,36.06,0,78.74,0,2.37,2.19,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,1,0,0,0,0,0,0,0,31,0,0,22,2,6,73,3,NA,9.980000000000000,0.000000000000000,11.59,21.109999999999999,0,31.73,0,0,0,11,28,2,1,0,31,0,31.73,0,42.68,0,83.3
002/0146,0,0,0,12.09,0,69.16,0,0,2.94,72.1,0,0,0,0,0,0,0,158,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,28,0,2,0,6,0,0,1,0,0,0,0,0,13,0,0,54,0,0,16,13,133,2,NA,10.310000000000000,9.680000000000000,4.93,32.149999999999999,0,10.74,0,0,0,36,13,16,1,0,0,67,10.74,0,57.07,0,72.1
002/0196,0,0,0,0,0,8.7,0,0,0,8.7,0,0,0,0,0,0,2,0,0,45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,3,NA,0.000000000000000,0.000000000000000,0,8.700000000000001,0,0,0,0,0,7,3,1,0,0,0,0,0,0,8.7,0,8.7
002/0197,0,0,0,0,0,7.37,0.84,0,0,8.21,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,5,3,NA,2.270000000000000,0.000000000000000,5.1,0.000000000000000,0,0,0,0,0,0,2,0,0,0,3,0,0,0,7.37,0.84,8.21
002/0198,0,3.92,0,0,0,5.5,0,0,0,5.5,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,26,3,NA,2.750000000000000,0.000000000000000,2.75,0.000000000000000,0,0,0,0,0,24,1,0,1,0,0,0,0,0,5.5,0,5.5
002/0204,0,16.24,0,0,0,5.4,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86,3,NA,5.400000000000000,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,86,0,0,5.4,0,5.4
003/0002,0,68.06,0,41.05,0,60.5,1,0,0,61.5,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,20,0,0,0,0,147,2,NA,19.449999999999999,0.000000000000000,0,0.000000000000000,0,27.17,0,0,0,0,0,0,0,0,0,147,27.17,0,19.45,1,61.5
003/0005,0,4,0,13.69,0,35.15,0,0,1.25,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25,0,12,0,3,0,0,1,0,0,0,0,0,2,0,3,0,8,11,8,4,77,3,NA,7.920000000000000,0.000000000000000,4,9.540000000000001,0,3.94,0,0,0,40,15,16,1,0,3,2,3.94,0,21.46,0,36.4
003/0011,0,23.44,0,79.36,0,111.9,1.3,0,2.5,115.7,0,0,0,0,0,0,1,377,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,68,0,0,24,22,5,0,0,149,2,NA,12.450000000000001,6.320000000000000,8.42,5.350000000000001,0,29.21,0,29.06,0,30,5,22,0,0,0,122,29.21,29.06,32.54,1.3,115.7
003/0016,0,0,0,32.48,0,90.32,17.68,0,2.5,110.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,5,0,0,7,29,0,0,81,0,3,0,0,128,3,NA,27.550000000000001,0.000000000000000,27.15,3.140000000000000,0,27.19,0,0,0,15,3,0,0,0,0,122,27.19,0,57.84,17.68,110.5
003/0033,0,14.84,8.18,146.36,0,292.65,1.4,0,2.6,296.65,0,0,0,0,0,0,0,596,0,0,0,1,0,0,0,1,0,4,0,2,1,0,0,0,0,16,0,20,0,6,0,0,1,0,27,0,0,86,44,0,0,298,0,19,8,9,534,1,1,52.420000000000002,0.000000000000000,47.87,46.000000000000000,0,126.45,0,0,0,155,28,8,1,0,0,455,126.45,0,146.29,1.4,296.65
003/0038,0,0,0,10.9,0,18.8,0,0,0.5,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,15,3,NA,0.000000000000000,3.800000000000000,0,4.100000000000000,0,10.9,0,0,0,7,3,4,0,0,1,0,10.9,0,7.9,0,19.3
003/0047,0,0,9.66,39.86,0,104.3,3.3,0,2.26,109.86,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,28,0,0,11,0,0,0,1,0,0,0,0,0,23,0,10,0,8,0,0,16,97,3,NA,23.379999999999999,0.000000000000000,41.06,0.000000000000000,0,9.9,0,0,11,28,16,8,1,0,10,23,9.9,0,64.44,3.3,109.86
003/0049,0,0,0,6.79,0,21.49,0,0,0.31,21.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,16,0,0,2,0,27,3,NA,7.520000000000001,0.000000000000000,5.74,1.440000000000000,0,6.59,0,0,0,6,0,2,0,0,0,21,6.59,0,14.7,0,21.8
003/0064,0,0,0,20.74,0,54.54,0,0,1.76,56.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,124,0,0,0,0,0,0,0,137,2,NA,17.629999999999999,0.000000000000000,0,16.170000000000002,0,18.66,0,0,0,13,0,0,0,0,0,137,18.66,0,33.8,0,56.3
003/0066,0,13.9,0,63.84,0,136.89,0,0,0,136.89,0,0,0,0,0,0,0,151,0,840,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,18,0,0,0,79,0,0,16,20,0,0,0,164,2,NA,16.590000000000000,0.000000000000000,50,6.460000000000000,0,48.06,0,0,0,48,0,20,1,0,0,113,48.06,0,73.05,0,136.89
003/0069,0,0,13.74,65.35,0,119.25,0,0,0,119.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,7,0,0,0,0,1,0,0,0,0,0,41,0,0,58,11,2,14,18,181,2,NA,16.390000000000001,0.000000000000000,0,37.509999999999998,0,41.82,0,0,0,36,20,25,1,0,0,99,41.82,0,53.9,0,119.25
003/0083,0,0,0,0,0,3.67,0.3,0,0.73,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,3,NA,2.000000000000000,0.000000000000000,0,1.670000000000000,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3.67,0.3,4.7
003/0092,0,0,0,0,0,1.17,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,NA,0.000000000000000,0.000000000000000,0,1.170000000000000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.17,0,1.17
004/0003,0,0,0,55.6,0,73.2,1,0,1.4,75.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41,3,NA,0.000000000000000,6.410000000000000,5.09,6.100000000000001,0,50,0,0,0,41,0,0,0,0,0,41,50,0,17.6,1,75.6
004/0004,0,0,0,15.75,0,86.05,5.5,0,1.31,92.86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,4,7,1,4,8,0,0,0,0,7,0,0,0,5,10,13,0,6,21,24,13,182,2,NA,23.870000000000001,16.410000000000000,6.06,23.960000000000001,6.95,8.8,0,0,70,20,34,30,0,10,13,12,15.75,0,70.3,5.5,92.86
004/0005,4.66,31.35,0,90.21,0,211.31,7.47,11.53,12.4,242.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,4,0,0,0,0,0,70,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,34,142,2,NA,40.469999999999999,0.000000000000000,47.48,33.149999999999999,39.67,18.48,0,0,0,70,34,36,2,0,0,0,58.15,0,121.1,7.47,242.71
004/0011,0,0,0,13.9,0,34.9,1.3,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3,NA,10.000000000000000,0.000000000000000,11,0.000000000000000,0,9.7,0,0,0,84,0,0,2,0,0,0,9.7,0,21,1.3,36.2
004/0018,0,0,0,12.29,0,26.47,0,0,0.43,26.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,2,0,1,0,25,3,NA,4.860000000000000,0.000000000000000,9.32,0.000000000000000,0,9.73,0,0,1,19,0,3,0,0,0,20,9.73,0,14.18,0,26.9
004/0021,0,0,0,95.83,0,159.2,0,0,4.05,163.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,44,22,17,0,0,148,2,NA,19.100000000000001,7.040000000000000,12.56,24.670000000000002,0,77.84,0,0,0,0,17,22,0,0,0,109,77.84,0,63.37,0,163.25
004/0022,0,0,0,0,0,2.67,0,0,1.63,4.3,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,2,0,0,3,1,15,3,NA,0.000000000000000,0.670000000000000,0,2.000000000000000,0,0,0,0,3,3,1,3,0,0,0,7,0,0,2.67,0,4.3
004/0025,0,0,0,33.38,0,83.01,0,0,0,83.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,38,0,0,0,0,0,3,2,0,6,0,0,0,8,0,3,0,0,0,18,12,90,3,NA,0.000000000000000,7.980000000000000,0,41.649999999999999,0,26.45,0,0,0,47,12,18,2,0,3,14,26.45,0,49.63,0,83.01
004/0028,0,0,0,7.34,0,13.5,0,0,0.5,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,3,NA,0.000000000000000,1.550000000000000,4.61,0.000000000000000,0,5.68,0,0,0,0,0,0,0,0,0,16,5.68,0,6.16,0,14
004/0042,0,0,0,19.97,0,95.1,13,18.6,0.8,127.5,0,0,0,0,0,22,0,9,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,56,0,10,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,32,24,128,2,NA,24.660000000000000,8.130000000000001,0,42.340000000000003,0,8.21,0,6.52,0,66,24,35,2,0,1,0,8.21,6.52,75.13,13,127.5
005/0006,0,10.05,0,13.71,0,87.6,5.21,0,2.87,95.68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,2,0,0,0,6,3,0,0,0,0,0,18,0,6,16,26,29,20,18,229,2,NA,23.980000000000000,0.000000000000000,0,49.910000000000004,0,13.71,0,0,0,93,47,46,3,0,6,34,13.71,0,73.89,5.21,95.68
005/0012,0,36.77,0,57.71,0,93.1,0,0,0,93.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,70,0,20,0,0,0,0,2,0,6,0,0,4,32,0,0,54,23,18,24,20,273,2,NA,21.050000000000001,0.000000000000000,2.83,11.510000000000000,0,51.33,0,0,0,100,38,47,2,0,0,96,51.33,0,35.39,0,93.1
005/0021,0,15.31,0,48.9,0,84.91,0,0,3.06,87.97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,51,0,0,0,3,0,0,2,0,0,0,0,0,10,0,0,11,19,22,4,3,125,3,NA,13.730000000000000,0.000000000000000,16.23,6.050000000000000,8.77,29.2,0,0,0,54,25,23,2,0,0,21,37.97,0,36.01,0,87.97
005/0024,0,0,0,0,0,55.8,0,0,0.2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,57,0,0,45,0,0,0,0,114,3,NA,0.000000000000000,0.000000000000000,5.1,50.700000000000003,0,0,0,0,0,12,0,0,0,0,0,114,0,0,55.8,0,56
005/0025,0,53.32,0,33.07,0,63.54,21.03,8.48,1.23,94.28,0,0,0,0,0,0,0,156,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,110,0,0,0,11,0,0,0,128,3,NA,21.270000000000000,0.000000000000000,9.2,0.000000000000000,0,18.23,0,4.13,0,7,0,11,0,0,0,117,18.23,4.13,30.47,21.03,94.28
005/0028,0,4.79,0,4.59,0,8.77,0,0,0.49,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,3,NA,0.000000000000000,0.000000000000000,0,4.180000000000000,0,0,0,4.59,0,0,0,0,0,0,18,0,0,4.59,4.18,0,9.26
005/0031,0,19.94,7.66,78.5,0,125.43,0,0,0,125.43,0,0,0,0,0,0,0,72,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,138,0,0,2,0,0,0,0,149,2,NA,26.210000000000001,0.000000000000000,18.19,2.530000000000000,18.97,36.26,0,0,0,9,0,0,0,0,0,149,55.23,0,46.93,0,125.43
005/0037,0,0,0,15.59,0,71.2,0.8,0,3,75,0,0,0,0,0,0,0,484,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,21,0,0,55,0,5,0,0,88,3,NA,6.650000000000000,6.890000000000001,11.14,30.930000000000000,0,15.54,0,0,0,7,5,0,0,0,0,83,15.54,0,55.61,0.8,75
